WKT,PLANID,LAAG
"LINESTRING (90762.432133 437149.580313,90762.130639 437129.109392,90774.197128 437129.109391)","582",ALG_CODERINGEN
"LINESTRING (90836.142683 436408.879248,90841.355398 436390.879164)","582",ALG_CODERINGEN
"LINESTRING (92219.301745 442929.966248,92218.623169 442932.372393)","593",ALG_MAATVOERING
"LINESTRING (94728.473937 435647.923094,94729.501998 435646.329603)","687",ALG_CODERINGEN
"LINESTRING (94736.224561 434281.094347,94740.267847 434279.219821)","632",ALG_CODERINGEN
"LINESTRING (90824.118673 436304.089922,90812.924946 436300.865839,90819.338654 436280.699043)","582",ALG_CODERINGEN
"LINESTRING (94802.837091 436216.052666,94804.067342 436213.815611)","687",ALG_CODERINGEN
"LINESTRING (91793.329709 434012.152854,91793.818358 434013.732492)","574",ALG_CODERINGEN
"LINESTRING (94603.580414 436054.2864,94605.863402 436049.901254)","687",ALG_CODERINGEN
"LINESTRING (95074.397116 433140.656318,95081.774735 433142.408008)","598",ALG_CODERINGEN
"LINESTRING (90867.607077 436843.98136,90867.443597 436849.84682,90858.171553 436849.800665)","582",ALG_CODERINGEN
"LINESTRING (92216.674786 443694.35709,92197.242317 443694.35709)","709",ALG_CODERINGEN
"LINESTRING (88355.745788 439626.007796,88356.232773 439628.765122,88358.443533 439628.374669,88354.352885 439634.220192,88348.507362 439630.129545,88350.718121 439629.739092,88350.231136 439626.981766,88355.745788 439626.007796)","646",ALG_CODERINGEN
"LINESTRING (90568.015946 437089.829594,90571.011428 437111.612909,90564.829685 437112.462977)","582",ALG_CODERINGEN
"LINESTRING (99335.467267 443233.061463,99335.464945 443233.06496)","442",ALG_MAATVOERING
"LINESTRING (91328.585903 433770.976397,91330.80431 433770.120472,91326.785499 433759.704408)","574",ALG_CODERINGEN
"LINESTRING (90356.119605 437287.338372,90361.15254 437321.538373)","582",ALG_CODERINGEN
"LINESTRING (90439.978659 436304.100123,90431.143705 436324.838643,90440.346783 436328.56984)","582",ALG_CODERINGEN
"LINESTRING (90789.242412 437009.659877,90801.886916 436999.23302,90796.28812 436987.739687)","582",ALG_CODERINGEN
"LINESTRING (94630.945982 436481.980177,94634.790581 436481.510275)","687",ALG_CODERINGEN
"LINESTRING (95171.073929 434655.355721,95169.81921 434653.193389)","632",ALG_MAATVOERING
"LINESTRING (90631.772582 436948.629064,90634.72082 436969.876248,90628.721531 436970.443465)","582",ALG_CODERINGEN
"LINESTRING (91297.623858 436942.857733,91295.562005 436924.173313)","582",ALG_CODERINGEN
"LINESTRING (91034.882672 432842.983888,91035.280306 432845.029447)","577",ALG_CODERINGEN
"LINESTRING (94876.039579 434840.126442,94885.661417 434840.185406)","632",ALG_CODERINGEN
"LINESTRING (85943.956029 431749.5507,85951.099584 431749.5507)","634",ALG_CODERINGEN
"LINESTRING (91715.476014 443690.490976,91715.275851 443690.370031)","368",ALG_MAATVOERING
"LINESTRING (88363.62869 440105.924878,88361.317814 440104.821029)","646",ALG_CODERINGEN
"LINESTRING (69011.321341 445275.845653,69012.783214 445278.028288)","595",ALG_CODERINGEN
"LINESTRING (94756.246261 434215.19854,94762.406749 434220.420531)","632",ALG_CODERINGEN
"LINESTRING (94734.392075 435366.149115,94732.776518 435365.300222)","687",ALG_CODERINGEN
"LINESTRING (94180.671993 432980.808987,94176.63115 432978.789784)","598",ALG_CODERINGEN
"LINESTRING (90688.078647 436102.175428,90695.133515 436082.527004,90687.738652 436079.89124)","582",ALG_CODERINGEN
"LINESTRING (93831.110345 433586.683018,93833.660385 433583.769737)","598",ALG_CODERINGEN
"LINESTRING (92385.493341 434920.802718,92384.071757 434916.993859)","586",ALG_CODERINGEN
"LINESTRING (90671.433091 436378.177626,90665.059162 436396.830429,90677.84711 436401.564498)","582",ALG_CODERINGEN
"LINESTRING (90597.682 431007.203,90597.682 430995.203,90696.83 430995.203)","494",ALG_CODERINGEN
"LINESTRING (91244.624867 433563.925779,91247.369954 433563.633072)","574",ALG_CODERINGEN
"LINESTRING (94512.663285 435991.230267,94513.895587 435989.321561)","687",ALG_CODERINGEN
"LINESTRING (90474.07046 437017.775563,90496.210101 437013.372206,90498.65497 437025.625024)","582",ALG_CODERINGEN
"LINESTRING (88246.382956 440700.198071,88225.503627 440689.409324)","597",ALG_CODERINGEN
"LINESTRING (90413.103823 431072.469992,90413.109 431072.34,90414.063 431072.641,90413.09283 431072.727992)","494",ALG_MAATVOERING
"LINESTRING (91670.286451 434175.488005,91668.544614 434167.785218,91685.671769 434163.912243)","574",ALG_CODERINGEN
"LINESTRING (68792.796139 445266.111443,68793.164569 445264.736443,68794.171139 445263.729873,68795.546139 445263.361443,68796.921139 445263.729873,68797.927709 445264.736443,68798.296139 445266.111443,68797.927709 445267.486443,68796.921139 445268.493013,68795.546139 445268.861443,68794.171139 445268.493013,68793.164569 445267.486443,68792.796139 445266.111443)","595",ALG_CODERINGEN
"LINESTRING (94083.432751 432837.558965,94076.8676 432833.577989)","598",ALG_CODERINGEN
"LINESTRING (94182.858192 434591.093431,94181.074744 434589.216036)","568",ALG_CODERINGEN
"LINESTRING (90996.567121 436343.613222,91003.79362 436319.086343)","582",ALG_CODERINGEN
"LINESTRING (91714.869767 434614.857675,91718.322352 434616.195864,91714.656083 434625.654988)","574",ALG_CODERINGEN
"LINESTRING (94707.154502 435418.416021,94705.401153 435417.449059)","687",ALG_CODERINGEN
"LINESTRING (90676.237255 437048.684886,90694.641458 437072.630609)","582",ALG_CODERINGEN
"LINESTRING (88447.843557 439974.605718,88450.16392 439970.525713,88445.552902 439967.866792)","646",ALG_CODERINGEN
"LINESTRING (94664.10715 433958.997946,94667.619673 433959.585146)","632",ALG_CODERINGEN
"LINESTRING (90660.87776 436565.047944,90677.934689 436577.883112,90670.428715 436587.941315)","582",ALG_CODERINGEN
"LINESTRING (94327.20266 433085.674257,94334.246326 433091.278593)","598",ALG_CODERINGEN
"LINESTRING (95468.799594 433747.428629,95478.550138 433749.703486)","598",ALG_CODERINGEN
"LINESTRING (93986.444563 433524.938109,93991.824881 433529.657481)","598",ALG_CODERINGEN
"LINESTRING (90595.379405 437333.744815,90602.598917 437336.034612,90608.363146 437317.860547,90601.172564 437315.579925)","582",ALG_CODERINGEN
"LINESTRING (90429.976675 437251.180379,90432.858956 437225.642198)","582",ALG_CODERINGEN
"LINESTRING (92033.896641 434106.531478,92035.217172 434105.632994)","574",ALG_CODERINGEN
"LINESTRING (92294.903805 435029.965647,92326.72 435056.17)","586",ALG_CODERINGEN
"LINESTRING (90600.75647 437004.189874,90597.645478 436989.498986,90621.089296 436984.534444)","582",ALG_CODERINGEN
"LINESTRING (90511.935476 437063.063716,90510.43671 437051.705656,90509.368865 437043.613237)","582",ALG_CODERINGEN
"LINESTRING (90770.66056 436111.92314,90773.327138 436102.983623,90759.216383 436098.178797,90756.380467 436106.89792)","582",ALG_CODERINGEN
"LINESTRING (91736.193105 433563.790808,91739.446962 433568.129283)","574",ALG_CODERINGEN
"LINESTRING (91558.033166 434288.976669,91554.401116 434289.488211)","574",ALG_CODERINGEN
"LINESTRING (90866.150516 436422.294317,90866.106231 436437.448932)","582",ALG_CODERINGEN
"LINESTRING (91316.970836 433740.979375,91314.632925 433741.889863)","574",ALG_CODERINGEN
"LINESTRING (92744.924688 435113.90654,92746.683882 435109.315186)","569",ALG_CODERINGEN
"LINESTRING (91399.791495 436457.743399,91413.95652 436461.864516)","582",ALG_CODERINGEN
"LINESTRING (91742.20105 433814.513151,91742.199246 433814.514503)","574",ALG_CODERINGEN
"LINESTRING (94635.356763 435800.94145,94635.439951 435799.198636,94634.44247 435798.582347)","687",ALG_CODERINGEN
"LINESTRING (90346.667993 436677.555943,90344.152841 436692.017807,90331.989398 436690.035132)","582",ALG_CODERINGEN
"LINESTRING (68688.005527 445216.304407,68688.373957 445214.929407,68689.380527 445213.922838,68690.755527 445213.554407,68692.130527 445213.922838,68693.137096 445214.929407,68693.505527 445216.304407,68693.137096 445217.679407,68692.130527 445218.685977,68690.755527 445219.054407,68689.380527 445218.685977,68688.373957 445217.679407,68688.005527 445216.304407)","595",ALG_CODERINGEN
"LINESTRING (91756.189592 433598.669551,91758.224402 433597.143442)","574",ALG_CODERINGEN
"LINESTRING (93896.531849 433655.592702,93901.906802 433660.318182)","598",ALG_CODERINGEN
"LINESTRING (93748.333092 433782.056331,93748.16802 433781.565689,93746.727897 433777.285233,93746.816343 433774.657848,93746.907496 433771.950036)","598",ALG_CODERINGEN
"LINESTRING (91583.064037 434795.027275,91586.266663 434794.09071)","574",ALG_CODERINGEN
"LINESTRING (87713.172183 440773.62269,87710.503456 440770.785249)","646",ALG_CODERINGEN
"LINESTRING (91208.693755 436635.765737,91229.683024 436639.999641,91227.313707 436651.745354)","582",ALG_CODERINGEN
"LINESTRING (91715.414146 434604.03049,91718.586223 434605.259957)","574",ALG_CODERINGEN
"LINESTRING (91345.258241 436739.040239,91329.858506 436740.385315)","582",ALG_CODERINGEN
"LINESTRING (93414.503804 435562.228531,93414.844545 435559.64034,93415.84355 435557.228531,93417.432736 435555.157463,93419.503804 435553.568277,93421.915613 435552.569272,93424.503804 435552.228531,93427.091994 435552.569272,93429.503804 435553.568277,93431.574871 435555.157463,93433.164058 435557.228531,93434.163062 435559.64034,93434.503804 435562.228531,93434.163062 435564.816721,93433.164058 435567.228531,93431.574871 435569.299598,93429.503804 435570.888785,93427.091994 435571.887789,93424.503804 435572.228531,93421.915613 435571.887789,93419.503804 435570.888785,93417.432736 435569.299598,93415.84355 435567.228531,93414.844545 435564.816721,93414.503804 435562.228531)","488",ALG_CODERINGEN
