WKT,PLANID,LAAG,TEKST,SYMBOOL,ROTATIE,OID_,SYMBOOL_1,LEGENDA,LAAG_1
"POINT (90933.563585 436996.835565)","582",A_KANTOOR_TOEGEST,,kantoor,"4.7124","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90936.41665 436998.01476)","582",A_KANTOOR_TOEGEST,"3",,"4.4506","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90969.762229 436999.757446)","582",A_BELHUIS_TOEGEST,,Belhuis,"3.4544","0",,,
"POINT (90823.925249 437000.957185)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90975.341549 437001.359225)","582",A_HORECA_TOEGEST,,horeca,"5.9698","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90229.346448 437001.360075)","582",A_HORECA_TOEGEST,,horeca,"0.0000","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (90825.913418 437002.254581)","582",A_KANTOOR_TOEGEST,"3",,"4.7123","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90993.373407 437006.463801)","582",A_MAATBESTEMMING,,maatbestemming,"3.4313","0",,,
"POINT (90938.637811 437006.692037)","582",A_KANTOOR_TOEGEST,"2",,"4.4751","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
"POINT (90936.354722 437006.986089)","582",A_KANTOOR_TOEGEST,,kantoor,"0.0000","8",A_KANTOOR_TOEGESTAAN,bedrijf/detailhandel/voorz,A_KANTOOR_TOEGEST
